[2025-11-09 14:56:15,017]-[INFO]-[__main__]-Cliente creado
[2025-11-09 15:00:57,874]-[INFO]-[__main__]-Cliente creado
[2025-11-09 15:03:49,150]-[INFO]-[__main__]-Cliente creado
[2025-11-09 15:19:56,661]-[INFO]-[__main__]-Cliente creado
[2025-11-09 15:20:33,676]-[INFO]-[__main__]-Cliente creado
[2025-11-09 15:31:04,835]-[INFO]-[__main__]-Cliente creado
[2025-11-09 15:33:12,147]-[INFO]-[__main__]-Cliente creado
[2025-11-09 15:35:35,415]-[INFO]-[__main__]-Cliente creado
[2025-11-09 15:38:20,440]-[INFO]-[__main__]-Cliente creado
[2025-11-09 15:51:54,537]-[INFO]-[__main__]-Cliente creado
[2025-11-09 16:49:59,940]-[INFO]-[__main__]-Cliente creado
[2025-11-09 16:55:55,431]-[INFO]-[__main__]-Cliente creado
[2025-11-09 16:57:19,572]-[INFO]-[__main__]-Cliente creado
